tier,file,id,title,title_original,author,author_original,canon_id,awards,status,candidate_year,suggested_t,confidence,ol_title,ol_authors,ol_key,title_similarity,author_similarity,reason
P2_EXTERNAL_MATCH_FRIENDLY,Palmerín de Inglaterra.md,WL-WORK-2298,Palmerín de Inglaterra,,弗朗西斯科·德·莫拉埃斯,Francisco de Moraes,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Parzival.md,WL-WORK-2301,Parzival,,沃尔夫拉姆·冯·埃申巴赫,Wolfram的,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Paulino Lucero.md,WL-WORK-2302,Paulino Lucero,,阿斯卡苏比,Ascasubi,,,CANDIDATE,1872,T3,LOW,Paulino Lucero,Hilario Ascasubi,/works/OL7125660W,1.000,0.696,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Peregrine's Progress.md,WL-WORK-2305,Peregrine's Progress,,杰弗里·法诺尔,Farnol,,,CANDIDATE,1922,T4,LOW,Peregrine's Progress,Jeffery Farnol,/works/OL8470555W,1.000,0.632,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Persian Pictures.md,WL-WORK-1364,Persian Pictures,,格特鲁德·贝尔,Gertrude Bell,,,CANDIDATE,1937,T4,MEDIUM,Persian pictures,Gertrude Lowthian Bell,/works/OL1160420W,1.000,0.750,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Personal Narrative.md,WL-WORK-1365,Personal Narrative,,亚历山大·冯·洪堡,Humboldt,,,CANDIDATE,1995,T6,LOW,Personal narrative,Alexander von Humboldt,/works/OL1553997W,1.000,0.571,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Polynesian Mythology.md,WL-WORK-1367,Polynesian Mythology,,乔治·格雷,George Grey,,,CANDIDATE,1956,T5,MEDIUM,Polynesian mythology,George Grey Turner,/works/OL6543598W,1.000,0.769,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Riders of the Silences.md,WL-WORK-2317,Riders of the Silences,,马克斯·布兰德,Max Brand,,,CANDIDATE,2007,T6,LOW,Riders of the Silences,Frederick Faust,/works/OL2011368W,1.000,0.091,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,"Rinaldo Rinaldini, the Robber Captain.md",WL-WORK-2319,"Rinaldo Rinaldini, the Robber Captain",,克里斯蒂安·奥古斯特·武尔皮乌斯,Christian August Vulpius,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Brut.md,WL-WORK-2330,Roman de Brut,,瓦斯,Wace,,,CANDIDATE,1836,T3,MEDIUM,Le roman de Brut,Wace,/works/OL2475035W,0.917,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Silence.md,WL-WORK-2331,Roman de Silence,,康沃尔的埃尔德里斯,Heldris of Cornwall,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Roman de Troie.md,WL-WORK-2333,Roman de Troie,,伯努瓦·德·圣莫尔,Benoît de Sainte-Maure,,,CANDIDATE,1987,T6,MEDIUM,Le roman de Troie,Benoît de Sainte-Maure,/works/OL19465105W,0.923,1.000,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Santos Vega o los mellizos de la Flor.md,WL-WORK-2337,Santos Vega o los mellizos de la Flor,,阿斯卡苏比,Ascasubi,,,CANDIDATE,1952,T5,LOW,"Santos Vega, o, Los mellizos de la flor",Hilario Ascasubi,/works/OL38955303W,1.000,0.696,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Santos Vega.md,WL-WORK-2336,Santos Vega,,拉斐尔·奥夫利加多,Obligado,,,CANDIDATE,1967,T5,LOW,Santos Vega,Rafael Obligado,/works/OL7602737W,1.000,0.727,Open Library first_publish_year candidate
P2_EXTERNAL_MATCH_FRIENDLY,Segu.md,WL-WORK-0942,Segu,,玛丽斯·孔戴,Maryse Condé,,,NO_MATCH,,,,,,,,,no result with first_publish_year
P2_EXTERNAL_MATCH_FRIENDLY,Seth Jones.md,WL-WORK-2338,Seth Jones,,爱德华·S.埃利斯,Edward S. Ellis,,,CANDIDATE,1861,T3,MEDIUM,Seth Jones,Edward Sylvester Ellis,/works/OL1796326W,1.000,0.750,Open Library first_publish_year candidate
